theorem_id,included_in_48_slate,exclusion_reason
quantization_error,yes,
quantizereal_lower_bound,yes,
etahr_nonneg,yes,
etahr_mono,yes,
etahr_le_slack,yes,
etabetting_pos,yes,
etabetting_nonneg,yes,
etabetting_antitone,yes,
etabetting_le_etahr,yes,
etavector_nonneg,yes,
etavector_mono,yes,
etavector_eq_sqrt_two_mul_etahr,yes,
etahr_le_etavector,yes,
etaasymptotic_nonneg,yes,
etaasymptotic_const,yes,
etaasymptotic_le_etahr,yes,
ranking_four_way,yes,
slack_nonneg,yes,
slack_antitone_in_scale,yes,
sharpslack_nonneg,yes,
sharpslack_mono_in_c,yes,
realizedcoverageavg_singleton,yes,
etavector_subadditive,yes,
c_hr_sharp_pos,yes,
c_betting_sharp_pos,yes,
c_vector_sharp_pos,yes,
c_acs_sharp_pos,yes,
boundary_pos,yes,
boundary_antitone,yes,
slacklower_nonneg,yes,
slack_tight,yes,
c_hr_sharp_ge_one,yes,
c_hr_sharp_le_sqrt_two,yes,
c_hr_sharp_le_six_fifths,yes,
etabetting_le_one,yes,
etabetting_lt_one,yes,
etahr_over_etabetting_gt_one,yes,
etahr_mono_supplementary,yes,
eta_hr_lt_vector,yes,
ranking_3_way,yes,
ranking_4_way_master,yes,
dichotomy_universal_monotonicity_impossible,yes,
betting_comparison_t2,yes,
real_sqrt_lt_sqrt,yes,
nat_le_add_right,yes,
real_add_sq_le_sq_add_sq,yes,
div_le_div_of_nonneg_left,yes,
mul_nonneg,yes,
Real.exp_pos,no,supplementary T0 target (not in headline slate)
integral_nonneg,no,supplementary T0 target (not in headline slate)
etaasymptotic_eq_etahr_at_zero,no,supplementary T1 target (not in headline slate)
integral_sqrt_nonneg,no,supplementary T1 target (not in headline slate)
etahr_mono_supplementary,no,supplementary T1 target (not in headline slate)
etabetting_le_etahr_pos,no,supplementary T1 target (not in headline slate)
etavector_subadditive,no,supplementary T1 target (not in headline slate)
subgaussian_sum_subgaussian,no,T4: missing Mathlib API (sub-Gaussian MGF closure for sums)
ville_supermartingale,no,T4: missing Mathlib API (Ville inequality for supermartingales)
vector_subgaussian_mgf,no,T4: missing Mathlib API (vector-valued time-uniform CS)
time_uniform_clt,no,T4: missing Mathlib API (time-uniform CLT)
optimal_stopping_boundary,no,T5: unresolved (finite-precision equivalence break)
