tid,att,sampler,closed,wall_sec,candidate
quantization_error,0,greedy,False,4.44,":= by
  intro s x
  have h₁ : |x - quantizeReal s x| ≤ (2 : ℝ)^(-(s : ℤ)) := by
    rw [quantizeReal]
    simp [abs_sub_round, mul_comm]
    <;> norm_cast
    <;> simp [round_eq, Int.floor_eq_iff, Int.ceil_eq_iff, mul_comm]
    <;> norm_cast
    <;> simp [abs_sub_round, mul_comm]"
quantization_error,1,temp0.7,False,3.12,":= theorem quantization_error_test : (s : ℕ) (x : ℝ) → |x - quantizeReal s x| ≤ (2 : ℝ)^(-(s : ℤ)) := by
  intro s x
  have h := quantizeReal_spec s x
  cases' abs_cases (x - quantizeReal s x) with h₁ h₁ <;> simp_all [abs_of_nonneg, abs_of_nonpos, zpow_neg]
  <;> norm_cast
  <;> linarith"
quantization_error,2,temp0.7,False,4.29,":= by
  intro s x
  have h₁ : |x - quantizeReal s x| ≤ (2 : ℝ)^(-(s : ℤ)) := by
    simp [quantizeReal, abs_sub_comm]
    <;> norm_cast
    <;> simp_all [Int.emod_eq_of_lt]
    <;> norm_cast
    <;> simp_all [Int.emod_eq_of_lt]"
quantization_error,3,temp0.7,False,1.44,":= by
  intro s x
  have h₁ : |x - quantizeReal s x| ≤ (2 : ℝ)^(-(s : ℤ)) := by
    exact?
  exact h₁"
quantization_error,4,temp0.7,False,1.99,":= by
  intro s x
  rw [quantizeReal]
  simp [abs_sub_lt_iff, mul_comm]
  norm_cast
  <;>
  simp_all [mul_comm]
  <;>
  norm_num"
quantizereal_lower_bound,0,greedy,False,4.2,":= by
  intro s x hx
  simp [quantizeReal, hx]
  <;> positivity
  <;> norm_cast
  <;> linarith
  <;> positivity
  <;> norm_cast
  <;> linarith"
quantizereal_lower_bound,1,temp0.7,False,1.44,":= by
  intro s x hx
  norm_num
  <;> simp_all [quantizeReal, zpow_neg, zpow_ofNat, mul_comm]
  <;> positivity
  <;> linarith"
quantizereal_lower_bound,2,temp0.7,False,4.25,":= by
  intro s x hx
  simp [quantizeReal, zpow_neg, zpow_ofNat, le_of_lt]
  -- The `simp` tactic simplifies the expression using known properties of powers and non-negativity.
  <;> positivity
  -- The `positivity` tactic is used to prove non-negativity of the expression, leveraging the fact that `"
quantizereal_lower_bound,3,temp0.7,False,2.85,":= theorem quantizereal_lower_bound_test : (s : ℕ) (x : ℝ) → 0 ≤ x → 0 ≤ quantizeReal s x + (2 : ℝ)^(-(s : ℤ)) := by
  intro s x hx
  have h₁ := quantizeReal_nonneg s x hx
  have h₂ : (0 : ℝ) ≤ (2 : ℝ)^(-(s : ℤ)) := by positivity
  linarith"
quantizereal_lower_bound,4,temp0.7,False,0.98,":= by
  intro s x hx
  simp [quantizeReal, zpow_neg, zpow_ofNat]
  positivity"
etahr_nonneg,0,greedy,False,0.68,":= by
  intro b
  simp [etaHR]
  <;> omega"
etahr_nonneg,1,temp0.7,False,1.39,":= by
  intro b
  simp [etaHR]
  <;> induction b with
  | zero => simp
  | succ b ih => simp_all [Nat.zero_le]
  <;> omega"
etahr_nonneg,2,temp0.7,False,0.81,":= by
  intro b
  simp [etaHR]
  <;> omega"
etahr_nonneg,3,temp0.7,False,4.23,":= by
  intro b
  simp [etaHR]
  <;> aesop
  <;> omega
  <;> linarith
  <;> norm_num
  <;> ring
  <;> nlinarith
  <;> nlinarith"
etahr_nonneg,4,temp0.7,False,4.4,":= by
  intro b
  simp [etaHR]
  <;> omega
  <;> simp_all
  <;> omega
  <;> simp_all"
etahr_mono,0,greedy,False,1.12,":= by
  intro b₁ b₂ h
  simp_all [etaHR, Nat.div_eq_of_lt]
  <;> omega"
etahr_mono,1,temp0.7,False,1.77,":= by
  intro b₁ b₂ h₁
  simp_all [etaHR, le_refl]
  <;> induction b₂ <;> induction b₁ <;> simp_all [Nat.le_succ_iff, Nat.le_of_lt_succ]
  <;> omega"
etahr_mono,2,temp0.7,False,4.34,":= by
  intro b₁ b₂ h
  simp_all [etaHR, Nat.add_le_add_iff_right]
  <;> omega
  <;> aesop
  <;> omega
  <;> aesop"
etahr_mono,3,temp0.7,False,1.14,":= by
  intro b₁ b₂ h
  simp_all [etaHR, Nat.div_eq_of_lt]
  <;> omega"
etahr_mono,4,temp0.7,False,0.97,":= by
  intro b₁ b₂ h
  simp_all [etaHR, Nat.div_eq_of_lt]
  <;> omega"
etahr_le_slack,0,greedy,False,4.25,":= by
  intro σ bp hσ
  simp_all [etaHR, slack, BitPrecision]
  <;> norm_cast
  <;> ring_nf
  <;> norm_num
  <;> positivity
  <;> linarith
  <;> norm_cast
  <;> ring_nf
  <;> norm_num
  <;> positivity
  <;> linarith"
etahr_le_slack,1,temp0.7,False,1.78,":= by
  intro σ bp hσ
  cases bp with
  | mk bits scale =>
    simp_all [slack, etaHR]
    <;> norm_cast
    <;> field_simp [hσ]
    <;> ring_nf
    <;> norm_cast
    <;> positivity"
etahr_le_slack,2,temp0.7,False,3.24,":= theorem etahr_le_slack_test : (σ : ℝ) (bp : BitPrecision) → 0 ≤ σ → etaHR bp.bits * 2^(-(bp.scale : ℤ)) * σ ≤ slack σ bp := by
  intro σ bp hσ
  cases bp
  all_goals simp_all [slack, etaHR, hσ, mul_assoc, mul_comm, mul_left_comm]
  all_goals norm_cast
  all_goals
    apply le_of_sub_nonneg
    ri"
etahr_le_slack,3,temp0.7,False,4.37,":= by
  intro σ bp hσ
  simp [slack, etaHR, hσ]
  <;> norm_num
  <;> positivity
  <;> linarith
  <;> ring_nf
  <;> norm_cast
  <;> linarith
  <;> positivity"
etahr_le_slack,4,temp0.7,False,2.34,":= by
  intro σ bp hσ
  norm_num [slack, etaHR]
  <;>
    ring_nf
  <;>
    norm_cast"
